Sample_ID,Year,Band_ID,AgeClass,Sex,Mass,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L_GenBank,H_GenBank,P_GenBank
EMGO AK10 040,2010,79297,AHY,F,1644,Nesting,1,0,0,0,1,1,0,0,0,MW960797,MW885272,
EMGO AK10 041,2010,78297,AHY,F,1737,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 042,2010,79356,AHY,F,1551,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 043,2010,78778,AHY,F,1330,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK10 044,2010,78220,AHY,F,1460,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 001,2011,79321,AHY,F,1956,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 002,2011,26090,AHY,F,1693,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 003,2011,78721,AHY,F,1502,Nesting,1,1,1,0,0,0,0,0,0,MW960798,,
EMGO AK11 004,2011,79315,AHY,F,1650,Nesting,0,1,1,0,0,0,0,0,0,MW960799,,
EMGO AK11 005,2011,79354,AHY,F,1842,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 006,2011,79322,AHY,F,1601,Nesting,1,1,1,0,0,0,0,0,0,MW960906,,
EMGO AK11 007,2011,57616,AHY,F,1615,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 008,2011,79343,AHY,F,1832,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 009,2011,79288,AHY,F,1500,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 010,2011,79347,AHY,F,1575,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 011,2011,78201,AHY,F,1636,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 012,2011,78717,AHY,F,1101,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 013,2011,26088,AHY,F,1695,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 014,2011,79253,AHY,F,1589,Nesting,0,0,1,0,0,0,0,0,0,MW960800,,
EMGO AK11 015,2011,79317,AHY,F,1657,Nesting,0,0,1,0,0,0,0,0,0,MW960801,,
EMGO AK11 016,2011,79318,AHY,F,1552,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 017,2011,79328,AHY,F,1543,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 018,2011,79345,AHY,F,1411,Nesting,1,1,1,1,0,0,0,0,0,mixed,MW885273,
EMGO AK11 019,2011,79327,AHY,F,1661,Nesting,1,0,1,0,0,0,0,0,0,MW960802,,
EMGO AK11 020,2011,79325,AHY,F,1760,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 021,2011,79344,AHY,F,1434,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 022,2011,79342,AHY,F,1624,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 023,2011,79319,AHY,F,1785,Nesting,0,1,1,0,0,0,0,0,0,mixed,,
EMGO AK11 024,2011,79323,AHY,F,2109,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 025,2011,79351,AHY,F,1835,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 026,2011,78324,AHY,F,1519,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 027,2011,79340,AHY,F,1488,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 028,2011,79326,AHY,F,1488,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 029,2011,78751,AHY,F,1630,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 030,2011,36970,AHY,F,1618,Nesting,1,1,1,0,0,0,0,0,0,MW960826,,
EMGO AK11 031,2011,79341,AHY,F,1686,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 032,2011,79324,AHY,F,1645,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 033,2011,79348,AHY,F,1768,Nesting,1,1,1,0,0,0,0,0,0,MW960803,,
EMGO AK11 034,2011,79316,AHY,F,1634,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 035,2011,57640,AHY,F,1637,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 036,2011,79346,AHY,F,1596,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK11 037,2011,79361,AHY,F,1815,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 001,2012,79395,AHY,F,1677,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 002,2012,79334,AHY,F,1704,Nesting,1,0,1,0,0,0,0,0,0,mixed,,
EMGO AK12 003,2012,79338,AHY,F,1641,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 004,2012,10298,AHY,F,1630,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 005,2012,10292,AHY,F,1672,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 006,2012,10208,AHY,F,1432,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 007,2012,10295,AHY,F,1618,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 008,2012,79206,AHY,F,1818,Nesting,1,1,0,0,0,0,0,0,0,MW960804,,
EMGO AK12 009,2012,78713,AHY,F,1580,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 010,2012,79336,AHY,F,1634,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 011,2012,78231,AHY,F,1531,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 012,2012,10299,AHY,F,1584,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 013,2012,79207,AHY,F,1609,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 014,2012,79294,AHY,F,1678,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 015,2012,79213,AHY,F,1614,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 016,2012,10206,AHY,F,1498,Nesting,1,0,0,0,0,0,0,0,0,MW960907,,
EMGO AK12 017,2012,78730,AHY,F,1927,Nesting,0,0,0,0,0,0,0,0,0,,,
EMGO AK12 018,2012,26983,AHY,F,1486,Nesting,1,1,1,0,0,0,0,0,0,MW960856,,
EMGO AK12 019,2012,79335,AHY,F,1447,Nesting,0,0,0,0,0,0,0,0,0,,,
