Sample_ID,Year,Band_ID,Species,AgeClass,Sex,BreedingStage,L1,L2,L3,H1,H2,H3,P1,P2,P3,L1_GenBank,L2_GenBank,L3_GenBank,H1_GenBank,H2_GenBank,H3_GenBank,P1_GenBank,P2_GenBank,P3_GenBank
CACG AK14 103,2014,28363,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,1,,,,,,,,,MW574934
CACG AK14 104,2014,28371,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 105,2014,28374,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 106,2014,28375,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 107,2014,28376,Cackling goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 108,2014,28379,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 109,2014,28378,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
CACG AK14 110,2014,28387,Cackling goose,AHY,M,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 001,2014,79208,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 002,2014,78757,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 003,2014,22140,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 004,2014,78297,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 005,2014,79213,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 006,2014,22125,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 007,2014,22150,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 008,2014,22104,Emperor goose,AHY,F,Nesting,1,1,1,0,0,0,0,0,0,MW574919,MW574919,MW574919,,,,,,
EMGO AK14 009,2014,22141,Emperor goose,AHY,F,Nesting,1,0,1,0,0,0,0,0,0,MW574917,,MW574917,,,,,,
EMGO AK14 010,2014,79336,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 011,2014,79392,Emperor goose,AHY,F,Nesting,1,1,1,0,0,0,0,0,0,MW574919,MW574919,MW574919,,,,,,
EMGO AK14 012,2014,22117,Emperor goose,AHY,F,Nesting,1,1,1,0,0,0,0,0,0,MW574916,MW574916,MW574916,,,,,,
EMGO AK14 013,2014,22119,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 014,2014,22148,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 015,2014,79306,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 016,2014,22110,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 017,2014,78468,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 018,2014,22120,Emperor goose,AHY,F,Nesting,1,1,1,0,0,0,0,0,0,MW574916,MW574916,MW574916,,,,,,
EMGO AK14 019,2014,78760,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 020,2014,22143,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 021,2014,22138,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 022,2014,78339,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 023,2014,22196,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 024,2014,79314,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 025,2014,10207,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 026,2014,78337,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 027,2014,22149,Emperor goose,AHY,F,Nesting,1,0,0,0,0,0,0,0,0,MW574926,,,,,,,,
EMGO AK14 028,2014,22146,Emperor goose,AHY,F,Nesting,0,0,0,0,0,0,0,0,0,,,,,,,,,
EMGO AK14 029,2014,22198,Emperor goose,AHY,F,Brood Drives,0,0,0,0,0,0,0,0,0,,,,,,,,,
